address,creatorAddress,creatorOwnerAddress,ownerAddress,ownerOfOwnerAddress,creationTx,creationTime,creationSlot,mintTx,mintTime,mintSlot,creatorBalance,ownerBalance,ownerPercentage,creatorPercentage,metaplexUpdateAuthority,metaplexOwnerUpdateAuthority,metaplexUpdateAuthorityBalance,metaplexUpdateAuthorityPercent,mutableMetadata,top10HolderBalance,top10HolderPercent,top10UserBalance,top10UserPercent,isTrueToken,totalSupply,preMarketHolder,lockInfo,freezeable,freezeAuthority,transferFeeEnable,transferFeeData,isToken2022,nonTransferable
pizzaFau8yhkhgDAWfEHst8JZS9tfoSQDsLnuEDb5mr,8rNNFvm8RhYpmAFrSYJ6sAGEpXuAPyUDoK8f4bU3yMoe,,,,4NyoA2j1PSN9zZvFsGnn17WANP22ZN7wnK41ydjp16Z9iDcJGz3zjqDnCYUevNwf3EEefH8fK3WET37NMdGtMKkN,1716322897,267165552,4NyoA2j1PSN9zZvFsGnn17WANP22ZN7wnK41ydjp16Z9iDcJGz3zjqDnCYUevNwf3EEefH8fK3WET37NMdGtMKkN,1716322897,267165552,0.0,,,0.0,8rNNFvm8RhYpmAFrSYJ6sAGEpXuAPyUDoK8f4bU3yMoe,,0.0,0.0,False,351917776.568788,0.3704399507875227,165241476.056027,0.173938483173746,,949999523.055334,[],,,,,,False,
HVT71CWBGmWHzGLTqEWA52GWEVQJNX38dYhbesUb6Czw,4ztJQoYQMFgGfe9YiDco2TnQfLfWfnMZSTidPYwtvsjr,,,,3UnGht2m4vykgAUfjYDPCaPY2NyyYSTFrgLE6JAuCaAx1qCEZHAbyXK89Qj4AqE1uVQzyhdhiohDNWi3hE25BPB2,1715902281,266211183,3UnGht2m4vykgAUfjYDPCaPY2NyyYSTFrgLE6JAuCaAx1qCEZHAbyXK89Qj4AqE1uVQzyhdhiohDNWi3hE25BPB2,1715902281,266211183,0.0,,,0.0,4ztJQoYQMFgGfe9YiDco2TnQfLfWfnMZSTidPYwtvsjr,,0.0,0.0,False,424731874.946975,0.4309325791652696,252010143.0519122,0.2556892649856501,,985610964.4104756,[],,,,,,False,
Aj9MJ2AoX1AH3iGhPcrYwPMPjcJyRNo95am36bj3nh6U,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,11111111111111111111111111111111,,,2wDAnbAPxDf6e8gkdLRABRRXsvZy66vMhB3yez46NGSRuP3SccEYdKyfmaeFRXknLse9XBDp1HDEuusZC9vNR8ZV,1716340313,267204466,2wDAnbAPxDf6e8gkdLRABRRXsvZy66vMhB3yez46NGSRuP3SccEYdKyfmaeFRXknLse9XBDp1HDEuusZC9vNR8ZV,1716340313,267204466,,,,,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,11111111111111111111111111111111,,,False,589093493.138001,0.5950453864902262,231077011.418232,0.2334116929995647,,989997580.878105,[],,,,,,False,
ASq72bedcSkKZ6DZzX1a2pnzsJjtZ3H73dw869zYDQH4,4gmzFyJCarfqhk5pKeSwMeJXAQYpiqszvsKNo1nC1yud,,,,5kw6p6P13Y93sLJAYHpDVEKMsyFSRx8xk5rC25cmnj3dvyBodVCvhiLUVr7s1oxizFFZW3hMTu2RjG4uPbQwM1fE,1716313583,267144759,5kw6p6P13Y93sLJAYHpDVEKMsyFSRx8xk5rC25cmnj3dvyBodVCvhiLUVr7s1oxizFFZW3hMTu2RjG4uPbQwM1fE,1716313583,267144759,7999999.839372,,,0.0080402189131862,4gmzFyJCarfqhk5pKeSwMeJXAQYpiqszvsKNo1nC1yud,,7999999.839372,0.0080402189131862,False,463996925.44125736,0.466329616312332,322246498.29184407,0.3238665552870198,,994997763.8359724,[],,,,,,False,
GL3kG2jKw6RTfrxsGoSGPkLkP6gDC8tU7yfzUuKeJNtr,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,11111111111111111111111111111111,,,gpv9ZG1P9M97ti9ey7BBotAqE2pymMHnNH2eYYHjeMHV2n8HAynTnXiXPub98J3wDWk3rRbMgJQ2EZH5NGJ5YiR,1716115776,266697531,gpv9ZG1P9M97ti9ey7BBotAqE2pymMHnNH2eYYHjeMHV2n8HAynTnXiXPub98J3wDWk3rRbMgJQ2EZH5NGJ5YiR,1716115776,266697531,,,,,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,11111111111111111111111111111111,,,False,550107187.89152,0.5501077063733176,187095640.855178,0.1870958171947829,,999999057.490394,[],,,,,,False,
2x8wx37qpRDx8ri3WcKamJxtuRaQEs6mKeMgYVfsNByp,GhyLijvNEDMfXYy9Li1MVrfUHqdWdjK1b7MMSXJgLasv,,,,RjAjBgV8gD2LAt1qy4Bha16jjxKcCpoUhMFgifTJ6FctpXnFhV2G1Y6hZWqeuw6z3udB3hC9KpBdyMNrAyn6SKU,1716303364,267121737,RjAjBgV8gD2LAt1qy4Bha16jjxKcCpoUhMFgifTJ6FctpXnFhV2G1Y6hZWqeuw6z3udB3hC9KpBdyMNrAyn6SKU,1716303364,267121737,0.0,,,0.0,GhyLijvNEDMfXYy9Li1MVrfUHqdWdjK1b7MMSXJgLasv,,0.0,0.0,False,297880191.3138818,0.541017604299169,90226239.58317858,0.1638711985812374,,550592418.7065115,[],,,,,,False,
CRTFUAUDajjzkm5pVFtdBdQxAyKUZKu9BmpsFU67QCod,vfRPe6Qyb4m8TLWeBz5NgEgcoJuRJF8wZ9sV4Rkwh2v,,,,2JFTht4faaYFxAtoxVjxqTreE4n4Xha5G7Wi99hhJnjT8AkegwyyETuYgwpJbtrVWLzjCP344Hf73zkKPMQq9UH3,1715967615,266360364,2JFTht4faaYFxAtoxVjxqTreE4n4Xha5G7Wi99hhJnjT8AkegwyyETuYgwpJbtrVWLzjCP344Hf73zkKPMQq9UH3,1715967615,266360364,0.0,,,0.0,vfRPe6Qyb4m8TLWeBz5NgEgcoJuRJF8wZ9sV4Rkwh2v,,0.0,0.0,False,229630410020.49,0.5458824213880159,112026915569.88,0.2663128281940539,,420659103542.13,[],,,,,,False,
8GwBnPWy5qghEZbXzwiHzdGJuAjDHgWk65pt6R7bEs2n,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,11111111111111111111111111111111,,,2f7jt5DBBrd8ryum97PfSmuB2Z8THvTmrXyNgbwyKtJ55kYTqtUrzavrH2X9Lsu7BDECKSvrh3MtaDV1bHysJVFi,1716329808,267180939,2f7jt5DBBrd8ryum97PfSmuB2Z8THvTmrXyNgbwyKtJ55kYTqtUrzavrH2X9Lsu7BDECKSvrh3MtaDV1bHysJVFi,1716329808,267180939,,,,,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,11111111111111111111111111111111,,,False,604169403.7079,0.6041694037079448,312285608.27645504,0.3122856082764781,,999999999.999926,[],,,,,,False,
6Wawi7fymRV3kLG1yaXKbtpzMHQeCcS2J4t9PDPfE2qV,GHNxba5CwaPTjrP9nj1GQ4ms5mbsYpQM9fcAxQaBievX,,,,2iAaUpNXwu36v3ZeqZFh2MknRUM3WHQHoMhvkWYQrbs8NsCD433mYZqz5xT3jizErgdA9J6iUoTyU8M1X89UNv9A,1716324372,267168860,2iAaUpNXwu36v3ZeqZFh2MknRUM3WHQHoMhvkWYQrbs8NsCD433mYZqz5xT3jizErgdA9J6iUoTyU8M1X89UNv9A,1716324372,267168860,0.0,,,0.0,GHNxba5CwaPTjrP9nj1GQ4ms5mbsYpQM9fcAxQaBievX,,0.0,0.0,False,873694812.7264761,0.8737517283983118,256566009.873608,0.2565827235207643,,999934860.590273,[],,,,,,False,
5WvrcoVkW2SVt5qEUbSjHJC8D5YSr9P5WNBwXJFqMfXD,D4D1cyeUQ5Gw8YYyHysKBBQEkJTTbdED7cK3XYBc3PdS,,,,g8VmjhZBKQAC9m5sHncQU8BngkFTNYDPCY8YFUR52xq66fNg4TNxtLzDKJ6Zb7ufWR5NwGnGxuXPYZJxLDswfwi,1716295669,267104342,g8VmjhZBKQAC9m5sHncQU8BngkFTNYDPCY8YFUR52xq66fNg4TNxtLzDKJ6Zb7ufWR5NwGnGxuXPYZJxLDswfwi,1716295669,267104342,0.0,,,0.0,D4D1cyeUQ5Gw8YYyHysKBBQEkJTTbdED7cK3XYBc3PdS,,0.0,0.0,False,478210525.920529,0.4782706845868622,287606598.5472651,0.2876427793263559,,999874216.2790405,[],,,,,,False,
