createdDateTime,address,symbol,pairAddress,buys_5m,buys_1h,buys_6h,buys_24h,sells_5m,sells_1h,sells_6h,sells_24h,volume_5m,volume_1h,volume_6h,volume_24h,priceChange_5m,priceChange_1h,priceChange_6h,priceChange_24h,liquidity,marketCap,priceUSD,website,twitter,telegram
2024-05-21 20:30:10,pizzaFau8yhkhgDAWfEHst8JZS9tfoSQDsLnuEDb5mr,puck,GBzrQmXxaVfX1EppmSufa5x3Vg2PUnvWYHQzJBknxX6U,1,50,80,3754,0,27,95,3108,177.0,4326.27,8366.11,1352084.3,2.73,22.11,25.26,3279.0,18469.16,47504.0,5e-05,https://pizzaduck.xyz/,https://x.com/PizzaDuckSolana,https://t.me/pizzaduckportal
2024-05-16 23:36:03,HVT71CWBGmWHzGLTqEWA52GWEVQJNX38dYhbesUb6Czw,stekk,JCB6ZZRRrob4YeK2mM4UFsABWfqmVW2qAkiVbV8KLpxq,1,7,14,301,0,4,10,271,53.52,1084.05,3373.16,83056.49,-0.41,5.37,-17.98,-35.23,12103.89,34730.0,3.523e-05,https://stekksol.com/,https://twitter.com/stekkSOL,https://t.me/stekkSOL
2024-05-22 05:31:40,Aj9MJ2AoX1AH3iGhPcrYwPMPjcJyRNo95am36bj3nh6U,RIKI,FcryGVSSWaHnYr9jsGwGTCN72XE7iaBwLJESNZLH3SyM,0,12,728,1727,1,9,630,1315,21.09,1067.35,157185.88,352768.97,-1.35,3.41,-62.38,-64.46,17387.54,24215.0,2.445e-05,https://rikitheraccoon.com/,https://x.com/RikiRacoonsol,https://t.me/RikionSol
2024-05-21 18:05:27,ASq72bedcSkKZ6DZzX1a2pnzsJjtZ3H73dw869zYDQH4,ACAB,B64gHAayqb5WyCEEsUE7M8uArhmiARVztNwQ2Zu4faXG,0,78,365,4271,2,69,269,3238,219.9,12822.99,47282.38,980639.24,-3.15,-2.55,235.0,3279.0,15099.87,44790.0,4.501e-05,https://allcatsarebeautiful.xyz/,https://twitter.com/ACAB_on_SOL,https://t.me/All_Cats_Are_Beautiful_SOL
2024-05-19 11:13:44,GL3kG2jKw6RTfrxsGoSGPkLkP6gDC8tU7yfzUuKeJNtr,DOW,B9CKry9Rqw7eiUgn2q21Wb9MUr6mxn3WFzSUmKo1DizB,0,5,7,37,0,3,6,32,0.0,1008.69,1220.68,5805.16,0.0,-0.18,1.68,1.3,16614.82,22888.0,2.288e-05,https://cherlsdew.my.canva.site/,https://x.com/cherlsdew,https://t.me/cherlsdew
2024-05-22 05:11:32,9EXoGHW4xtKUY6rMX5j53MGhKQq75tqbtLNb1KaAeZDg,GOLF,8pWDn39WBxHHLcaDoYvxHZqXjbWazC4v4EPFA2mmJR9Q,6,76,5468,9831,5,62,3455,5490,597.74,5131.97,843680.43,1633215.41,-10.53,-5.7,-59.14,1397.0,8654.86,15354.0,0.0001248,https://orangutangolf.com,https://x.com/golfcartsolana,https://t.me/+xu-lze_6Abk2ZDFh
2024-05-21 15:56:25,2x8wx37qpRDx8ri3WcKamJxtuRaQEs6mKeMgYVfsNByp,PONCAT,CR47LhDWhjVjFBGSws6x7Ly9fANbhorFZU4rBvG5pnEq,0,35,75,7677,2,33,96,6335,47.14,3239.18,9558.02,3772252.41,-1.47,26.02,-0.75,513.0,13336.31,18338.0,3.33e-05,https://catponke.com/,https://x.com/poncat_solana,https://t.me/poncat_solana_chat
2024-05-17 17:52:28,CRTFUAUDajjzkm5pVFtdBdQxAyKUZKu9BmpsFU67QCod,SOLMEME,BqSrdYDxKBa5FMqDADAJLShUjDJpJe8xSsXLajCKVaMK,0,4,19,127,0,4,17,74,0.0,1057.87,2288.96,7519.17,0.0,-14.83,-3.68,-9.53,8718.11,15532.0,3.692e-08,https://solmememoon.fun,https://x.com/SOLMEME_MOON,https://t.me/SOLMEME2024
2024-05-20 14:28:56,4YPBpWMzPQsueiHrfvUk8DCcNbGWuEPrJhXdULdtLHuZ,MATT,AvGSfwYrmCwhsWjgzumWkBU13bZtmxNbLLSYLPLZoLec,0,23,69,514,0,14,47,435,0.0,1301.28,5585.07,70059.14,0.0,25.95,54.46,-72.74,5495.24,18150.0,2.016e-05,https://mattleblanctoken.com,https://x.com/MrMattleBlanc,https://t.me/MattPortal
2024-05-21 22:19:19,8GwBnPWy5qghEZbXzwiHzdGJuAjDHgWk65pt6R7bEs2n,$fastcat,JDAPbaJSvy9UrVX6X5EmzxGmq7EmwvLMVosKGXAEGD7J,5,73,139,832,6,54,85,647,522.38,15451.44,28914.93,291440.13,3.03,27.23,291.0,-40.59,22562.33,41058.0,4.105e-05,https://fastcatonsol.com/,https://x.com/fastcatonsol,https://t.me/fastcatonsolana
